"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SKAP2",1985.14285714286,3.22334221542711,0.793656786495316,4.06138052401841,4.8783382177662e-05,0.0241749802949264
"CYBA",53.4285714285714,3.64599041650654,0.839985803370532,4.34053813990262,1.42134194501357e-05,0.0114458001815796
"LRP2",15.1428571428571,5.08745481868941,1.25682736480879,4.04785490922486,5.16891698015733e-05,0.0246662632706804
"HEPH",23.1428571428571,5.71880933922763,1.24807848134127,4.58209113026434,4.6034918666217e-06,0.0043936067374435
"CRYAB",1167.85714285714,4.57882586720957,0.79886982693181,5.73162950063504,9.94703612690367e-09,3.66178819934544e-05
"TBX18",69.1428571428571,3.56519798979209,0.814187033155701,4.37884398130706,1.19310506384811e-05,0.0102483747967673
"PLXDC2",425.428571428571,3.97344080036516,0.834215470962987,4.76308692258892,1.90653665492933e-06,0.00196518172243495
"KCNJ8",59.5714285714286,3.95560367301288,0.933845685917439,4.23582154167877,2.27717583635818e-05,0.0157520025777861
"TMTC1",398.428571428571,3.55588471630605,0.790576704191807,4.4978364495842,6.86484723580958e-06,0.00631786601498489
"GYPC",266.142857142857,5.85323239297915,0.823699232185346,7.10603113887822,1.19427480044138e-12,1.5387633666287e-08
"ARHGAP20",83.2857142857143,4.89529985515037,0.87610524309005,5.58757055018242,2.30268221699277e-08,4.56444754228359e-05
"MEGF10",44.7142857142857,5.063691003056,0.933984102502738,5.42160299033693,5.90669500524232e-08,9.51310147438058e-05
"SESN3",4885.28571428571,3.10658991723562,0.755111644626693,4.11408026792043,3.88726165503148e-05,0.0211425103393362
"ABCA5",101,3.84576714108049,0.894147700131058,4.30104236751579,1.69996550526865e-05,0.0132746700318994
"AR",27,5.94641218062484,1.06998778587666,5.55745800009564,2.73731821541278e-08,5.03842522092657e-05
"FAM110B",56.7142857142857,3.92678761500797,1.00050249986647,3.92481539579568,8.67962729411222e-05,0.03923952907754
"IL1RAPL1",1323.85714285714,5.42469868148965,0.832505548498716,6.51611114336978,7.21535215535774e-11,3.09887349485689e-07
"ESRRG",23.7142857142857,5.42402065924387,1.0382381068204,5.22425503707901,1.74857639454066e-07,0.000250328139505101
"DCHS2",18.5714285714286,4.3457707956004,1.03331993269544,4.20563918114338,2.60345309607962e-05,0.0163630202031405
"IPO8P1",22,3.97981874084212,1.03334719191379,3.85138583816285,0.000117451279966194,0.0484758782088628
"RP5.921G16.1",10.1428571428571,4.48112150239807,1.0759073704401,4.16496961124549,3.11394038954993e-05,0.0191055071186457
"SNORA31.6",10.7142857142857,4.56477906726547,1.10295449949664,4.13868302758518,3.49305150380523e-05,0.0209331265585016
"CLEC12B",10.7142857142857,4.56477851269161,1.15656751996879,3.94683270442764,7.91918502238147e-05,0.0364409783645979
"PNPLA4",28.8571428571429,-5.63661595377138,1.13163115757165,-4.9809656760131,6.32677619904543e-07,0.000708846503796529
"SLAMF7",55.5714285714286,-3.5770961718302,0.835145103974808,-4.28320318805114,1.84221795260267e-05,0.0139623865942995
"EPHB6",49.4285714285714,-6.42205458968284,1.14670604084307,-5.60043669514578,2.13812480836917e-08,4.56444754228359e-05
"CCL2",242.857142857143,-4.00236662913311,0.752621065864539,-5.31790406974003,1.04969383642515e-07,0.000159115061593174
"PCDHB5",833.428571428571,-4.09669330465317,0.81877980554488,-5.0034127330814,5.63241696347044e-07,0.000659735239689408
"RARRES1",76,-7.0471145491894,1.06610617210742,-6.61014327987523,3.83948231494943e-11,1.97879239547864e-07
"ACADS",99,-3.73305595762195,0.881099909626395,-4.23681346103514,2.26714335111839e-05,0.0157520025777861
